Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,pelayananya mantap. cs teller satpam gercep semua,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,"pelayanan mantap, cs teller satpam rapi baik sopan tepat waktu dalam melayani menyenangkan",2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,polling mantap,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,sangat ramah dan tanggung jawab,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,4,"salah satu bank mandiri dengan fasilitas terburuk yang pernah saya kunjungi. dengan payroll pegawai unj yang seluruhnya ada di bank mandiri, mereka hanya menyediakan 1 mesin atm di kcp yang berfungsi dengan baik. eh maaf, sebenarnya sih ada 2",2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,saya sangat puas dengan pengalaman saya di bank mandiri kcp unj. layanan yang diberikan sangat responsif dan mampu menyelesaikan masalah dengan cepat. staf di sini juga sangat ramah dan selalu siap membantu. suasana yang nyaman membuat,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,"pelayanan nya sangat baik teller cs security ramah, membantu menyelesaikan problem. terimakasihh",2
Bank Mandiri KCP Jakarta Universitas Negeri Jakarta,5,"respon baik, pelayanan baik,",2
