Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"pelayanan ramah, proses cepat! terimakasih untuk bank mandiri jakarta univ. pancasila. semoga tambah jaya",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"pelanyanannya cepat, petugasnya ramah",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"pelayanannya ramah, tempatnya adem, dan kerjanya cepat",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"terima kasih banyak untuk salah satu karyawan di bank mandiri cabang up ini, namanya kalo tidak salah mas taqiem. hp saya jatuh dijalan dan saat dihubungi ternyata sudah diamankan mas taqiem.",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,teller cepat,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,teller baik ramah cepat,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,teller dan layanan pelanggan nya ramah2.,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"pelayanannya baik, ramah, amanah.. pertahankan dan tingkatkan ..",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"tempat nyaman, tellernya ramah sekali",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,sangat mantap,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,mantap,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,sangat membantu,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanan teller nya cepat dan ramah,2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,pelayanannya baik cantik cantik orangnya cabangnya bagus tempatnya nyaman,2
Bank Mandiri KCP Jakarta Universitas Pancasila,2,"customer service nya lama banget, alasan satpam cs nya cuman 1 karena ada yang cuti.",0
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"pelayananannya cepat, petugasnya ramah dan baik",2
Bank Mandiri KCP Jakarta Universitas Pancasila,5,"aksesnya mulah, di dama up. cs, teller and securitynya ramah, sangat kooperatif!",2
