Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,baik ramah sangat mengerti produk tellernya cantik gemas .,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanan prima dalam membantu para customer.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,done,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,bank terbaik di negeri ini,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,"pelayanan yang ramah..,..",2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,memberikan pelayanan terbaik,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanannya oke banget,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,tellernya baik,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,teller dan cs nya ramah,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,"pelayanan sangat baik, sangat puas berbank di sini",2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,karyawan sangat ramah dan memahami betul kendala nasabah,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,"security, teller dan staff-staff lainnya ramah dan sangat membantu. terima kasih",2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayananya sangat baik,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,"cepat , tepat dan ramah",2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,semua staf sangat membantu!,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,staffnya sangat membantu dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,dari mulai security dan pegawai lainnya sangat membantu..,2
Bank Mandiri KCP Jakarta Universitas Tarumanegara,5,terbaik,2
