Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,cabangnya bagus kok,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat baik dan ramah.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,adem ruanganya,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan sangat ramah dan tempat selalu bersih,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan ramah dan area beraih,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,cabangnya bersih dan pelayanannya baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,semoga pelayanannya semakin baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,cs nya ramah2 dan gesit pelayanam cepat handal,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan yang sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,ramah,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan yang sangat luar biasa cepat dan responsif,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,okee,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan luar biasa,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,"pelayanan luar biasa ramah dan humble , seng ada lawan",2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,semua staf sangat membantu dan ramah .,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,cs dan tellernya ramah2,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanannya bagus orangnya sangat ramah sekali,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanannya luar biasa,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,"pelayanan sangat bagus, ruangan sangat nyaman dan bersih, staf yang ramah dan cekatan untuk bertransaksi",2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,keren,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,anjay keren banget satamnya,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,semua staff sangat helpfull dan solutif,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pertama saya datang ke cabang ini pelayanannya sangat baik ramah ramah pokoknya recommended banget cabang ini tuh bagi saya,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayan super ramah dan baik banget,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,customer servicenya pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,layanan baik & respon cepat,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Trisakti,5,cs nya ramah,2
