Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Universitas Yarsi,5,pelayanan sangat cepat dan ramah,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,"pelayanan cepat, gesit enggak pakai menunggu lama sat set.",2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,pelayanannya ramah tamah dan baik suasana tenang dan sangat memuaskan saya,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,"pelayanannya csnya satset banget, top juara",2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,tingkatkan lagi service baiknya..,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Universitas Yarsi,5,bagus mantap pelayanannya,2
Bank Mandiri KCP Jakarta Universitas Yarsi,2,"telefon nya cs tolong dimperbaiki, telefon berkali kali cs cuma hal halo aja. saya kira telfon saya yang bermasa, tat saat telfon ke mandiri yang lain bisa. .",0
