Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat bagus,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,open boothnya sangat membantu,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan mantab,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"tempat nya nyaman & pelayanan nya ramah, baik& sangat membantu",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,1,di saat penukeran uang kaya begini saya nasbh kurlebb13 tahun rekning pmbuka di cbng trsbt payroll pun mndiri belum pernh nukrn uang enggak dapat .. securty yang satu jutek securty yang satu saya nnya di cuekin mngkn karena mau nuker uang .. bukan tempat krja yang dkt cbng tesbt tapi rumah saya sebrng bank trsbt .. kecewa saja sih ..,0
Bank Mandiri KCP Jakarta Warung Buncit Raya,1,"jangan nuker uang baru disini pelayanan lama banget menunggu dari set 6 subuh dapat antrian jam set 7 terus disuruh balik jam 8, sudah balik jam 8 tau tau molorr jadi jam set 11 baru dapat pelayanan ke teller dan adanya cuma pecahan 2 ribu satu",0
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,cepat dan pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,semoga berkah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pelayanannya oke bgt, dan tellernya ada banyak ramah semua",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam ariel virgo amanah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam ariel virgo baik hati dan ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam terbaik..,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam baik dan kece,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam aril virgo terbaik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam aril virgo the best terbaik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,mantap,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,mantap aril virgo jos,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak ariel satpam orang nya baik.. kantor tempat nya bekerja nyaman,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"satpam atas nama ariel virgo baik ramah ,",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,untuk segala pelayanan luar biasa. apa ariel ramah dan sopan,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam baik cs ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,apa ariel ganteng dan ramah cs super baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang ramah dan ganteng,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah dan gaul,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aril virgo satpam yang ramah dan baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pak aril satpam yang rapi dan baik,cs teller nya cepat",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak ariel satpam yang rapi dan baik cs taller nya cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pak ariel satpam nya rapi dan ramah, cs nya cepet.",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak ariel satpam yang rapi dan baik cs teller nya cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak ariel satpam nya rapi dan baik cs teller nya cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak ariel satpam yang rapi dan baik cs teler nya cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pak aril satpam yang rapi dan baik cs teller nya cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,senyum sapa salam,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"muanteb tenan pelayanan nya, memberikan pengalaman service terbaik, saya ikutan senyum karena mba-mba nya pada senyum.. padahal saya lagi gloomy banget",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,terbaik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,layanan besar,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanannya sangat nyaman dan sales2 nya cantik2,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pak ariel virgo memberi pelayanan mengesankan , cs ramah , terimakasih apa ariel",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,aries virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo sangat baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,3,ariel virgo sangat baik,1
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang sangat baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,arielvirgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpamnya sangat ramah dan baik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpamnya ramah banget,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam baik hati,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo sapam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpamnya ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpam yang ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,ariel virgo satpamnya ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"satpam atas nama apa ariel memeberi pelayanan baik ramah dan berkesan, cs juga luarbiasa",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"satpam pak ariel ganteng dan ramah , cs ramah pelayanan baik",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam yang nama nya ariel ganteng,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,nyamann,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,okay,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,1,"pelayanan nya sangat buruk, gak2 lagi kesini dah",0
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpamnya pak ariel virgo ganteng dan pelaynan cs teller nya cepat dan bagus .,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,saya buka akun disini. staff staffnya sangat ramah dan banyak membantu,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"satpam pak ariel nya ganteng banget,dan pelayana cs tellee nya cepat banget",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,satpam pakai ariel galang banget,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,cs atas nama dara pelayanan nya oke dan cantik,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,teller atas nama devanni dan anggie okeh bangeh,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,cs pak daniel ganteng pelayanan cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pelayanan disini memuaskan cs, teller dan sekuriti nya ramah, ruangannya nyaman dan wangi.",2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan yang memuaskan,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan cepat dan ramah terima kasih,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,keren,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,teller dan cs baik. pelayanannya cepat. tempatnya nyaman,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanannya bagus & fast response. tellernya sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,pelayanan nya bagus dan jelas cs nya ramah dan tempat nya nyaman dan sejuk,2
Bank Mandiri KCP Jakarta Warung Buncit Raya,5,"pelayanan baik , sangat ramah dan responsif.",2
