Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,baik banget kakaknya sudah menuntun untuk membuka rekening dengan baik dan lancar terimakasih ka,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"respon cepat, dibantu dengan cs ibu febi, ramah dan solutif",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,melayani sangat .,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,terbaik,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,bagus dan cepat,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"bank ini sangat bagus dan bermanfaat untuk kita semua dan bank ini sangat amat saya senangi karena dari pelayanan nya bagus, ramah, dll semoga bank ini semakin jaya dan sukses selalu",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat membantu dan ramahh banget,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"sangat membantu, dan ramah",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"mudah dalam membuat rekening, di ajarkan dalam proses pembuatan rekeningnya",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"alhamdulillah.telah selesai buka rekening di bank mandiri by livin mandiri, suka sekali dengan pelayanan dari petugas dan kakak-kakaknya ramah dan membantu saya dalam membuka rekening bank.terimakasih.",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,penjelasaanya mudah dipahami dan pelayanannya bagus,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,penanganan nya ramah,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"pelayanannya bagus dan terbaik, enggak mengecewakan deh pokoknya",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"sangat membantu, baik banget orangnyana.",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"saya sangat puas dengan pelayanannya, banyak benefit yang didapatkan juga, pokoknya mantul deh",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"pelayanannya sangat baik, cepat, dan profesional. aplikasi mudah digunakan, transaksi aman, dan stafnya ramah. sangat puas dengan layanan bank ini!.. mantap mandiri kuu!",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"pelayanan sangat cepat, dan orangnya ramah ramah, dan dapat tumbler gratis terimakasih ini sangat membantu saya",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"yang mau bikin disini aja, mudah cepat dan praktis",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"kakk, pelayanny okekkee--",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,bagus,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,menarik sekali seluruh prosesnya mudah dijalankan dan dibantu oleh pihak mandiri dengan sangat baik,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangan murah untuk transfer ke bank iain,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,bagus banget tempatnya,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"terima kasih karena adanya bank mandiri, jadi lebih gampang untuk transfer",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,security baru ramah dan sigap,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,good,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,"pelayanannya tanggap, cepat dan solutif.",2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,terimakasih atas kunjungan dan kepercayaannya terhadap bank mandiri,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,terimakasih mas rizky bantuan pengajuan kartu kredit mandiri saya,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,apply kartu kredit proses cepat kurang dari seminggu langsung acc berkat bantuan mas riski mantap,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,berkat bantuan mas rizky akhirnya saya dapat kartu kredit yang semua orang idamkan yaitu mandiri visa signature dengan limit yang bagi saya sangat besar. sekalian saya ucapkan terimakasih yang sebanyaknya buat maa rizky atas bantuan nya.,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,pelayanan nya oke pegawai nya baik dan ramah cantik dan ganteng,2
Bank Mandiri KCP Jakarta Waskita Rajawali Tower,5,terimakasih atas kunjungan dan kepercayaannya kepada bank mandiri,2
