Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wisma Alia,5,pelayanannya ramah dan yang sangat mambantu,2
Bank Mandiri KCP Jakarta Wisma Alia,5,"pelayannya bagus dan memuaskan, karena telah dibantu oleh bacak security yang baik-baik",2
Bank Mandiri KCP Jakarta Wisma Alia,5,di bantu dengan baik oleh pk.security,2
Bank Mandiri KCP Jakarta Wisma Alia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Alia,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Wisma Alia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Alia,5,pernah dua kali kesini banknya bersih banget,2
Bank Mandiri KCP Jakarta Wisma Alia,5,keren banget pelayanan nya cepet,2
Bank Mandiri KCP Jakarta Wisma Alia,5,pernah sekali kesini banknya rapi si,2
Bank Mandiri KCP Jakarta Wisma Alia,5,"pelayanan sangat bagus, untuk tempatnya sangat nyaman",2
Bank Mandiri KCP Jakarta Wisma Alia,5,"cabangnya adem, nyaman, pelayanannya bagus, security nya sangat ramah",2
Bank Mandiri KCP Jakarta Wisma Alia,5,pelayanannya baik dan cepat.. terima kasih bank mandiri cab wisma alia,2
Bank Mandiri KCP Jakarta Wisma Alia,5,pelayanan yang bagus!,2
Bank Mandiri KCP Jakarta Wisma Alia,5,bank nya dingin pelayanan nya bagus securitynya ramah banget,2
Bank Mandiri KCP Jakarta Wisma Alia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Alia,5,"cabang nya bagus pelayanan security, nya mas prima dan csnya baik",2
Bank Mandiri KCP Jakarta Wisma Alia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Alia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Alia,5,"gedungnya nyaman, karyawannya ramah dan cepat tanggap. memuaskan",2
Bank Mandiri KCP Jakarta Wisma Alia,1,cs tidak responsif,0
Bank Mandiri KCP Jakarta Wisma Alia,1,transaksi di mandri sini kudu punya kenal orang dalem biar di layanin kalo kagak di lempar sana sini,0
Bank Mandiri KCP Jakarta Wisma Alia,5,"pelayananya ramah bgt, satoamnya helpful",2
