Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanannya juara :d,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"mandiri oil & gas lounge nya keren , nyaman buat kita yang pembisnis buat meeting",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanannya oke banget!,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pegawai nya ramah ramah,",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanan oke banget,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan customer service ramah dan cepat, terimakasih",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"bagus, pelayanan ramah dan sat set jos",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanan helpingl untuk cs disini terutama ke ibu trisa yang membantu saya,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanan nya baik dan petugasnya ramah2 semua,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,terima kasih mbak,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan nya sangat baik , ramah dan cepat",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,terimakasih bantuan membuka rekening disini,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"tempat nyaman, staff baik, ramah dan sangat helpfull",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"terima kasih mbak mbak cs yang sudah bantu transaksi saya, cepat sekali pelayanannya.",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"sangat cekatan untuk pelayanannya, saya sangat puas dan disini ada loungenya juga, mantap.",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"selama 13 tahun ini bertransaksi di cabang wisma mulia, pelayanannya sangat ok, terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayananannya memuaskan dari customer servicenya dan tellernya.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,terimakasih atas pelayanan yang baik,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan cepat, mbak dira sangat helpful dan ramah.. keep up the good work",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanannya sangat ramah dan supel, serta fasilitas oil & gas loungenya yang membedakan dari bank lainnya",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanannya mantap,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan sangat baik, ramah dan helpful untuk segala kendala",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayananya sangat ramah dan cekatan. terima kasih mba,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanannya bagus, dibantu banget sama mbak cs yang duduk di tengah, semua staff nya ramah dengan nasabah, sukses selalu mandiri wisma mulia.",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,staf ramah2 dan helpfull,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,baik baik pegawainya,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan bank mandiri wisma mulia sangat ramah dan membantu. semoga lebih baik dan sukses bank mandiri dan memberikan manfaat untuk orang banyak, terima kasih",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"cs teller satpam nya ramah semua, tempat menunggu juga nyaman",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat membantu sekali,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,pelayanan teller sangat baik!,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"pelayanan sangat oke, cs cs nya humble dan cekatan, solutif dan adaptif. apalagi cs yang di pojoknya rambut bondol",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,"terimakasi atas pelayananya , sangat memuaskan untuk kami",2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Mulia,5,terimakisih segera bertindak untuk melayani saya.,2
