Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wisma Nusantara,5,"god,pelayanan bagus dari mas enggal,mbak tari,salsa,ita..",2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,"pelayanannya baik dan ramah, semoga lebih baik untuk kedepannya",2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,1,datang ke bank: 10.59 disuruh menunggu di lounge oleh satpam: 11.02 teller baru datang melayani: 11.58,0
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,stabil,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,"disambut security yang ramah dan baik, mengarahkan disaat ingin pembuatan rekening baru dan kartu kredit, dari cs pun sangat membantu dalam pembuatannya",2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,1,"saya mau tuker giro ,orang awam , bawa giro mandiri mau ke abc , ke teller , giro diambil teller nya , dilihat lama banget , dibaca , terus suruh saya isi form , sudah saya isi form 2 lembar ,sya ttd juga , terus teman sbelahnya kasih tau terus",0
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat baik dilayani cs mbak entar,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,4,securty sangat baik transksi ok teller sangat rama,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,"bagus dan pegawainya ramah""",2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,"cabangnya bagus' pelayanan sangat frendly, dilayani sama mbak tari, thz bank mandiri",2
Bank Mandiri KCP Jakarta Wisma Nusantara,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Wisma Nusantara,1,"susah banget di telponnya. ..sekalinya diangkat, allah meminta nomer handphone katanya mau di call balik..",0
