Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wisma Tugu,5,pelayanan disini sangat humble dan sangat membantu,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,"pelayanan sangat bagus, petugasnya baik dan ramaah , banknya juga nyaman untuk menunggu dilayani, best bank mandiri wisma tugu",2
Bank Mandiri KCP Jakarta Wisma Tugu,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,"nyaman , cepat dan ramah2 petugas nya",2
Bank Mandiri KCP Jakarta Wisma Tugu,5,terimakasih untuk bank mandiri wisma tugu sudah melayani dengan sangat baik sekali,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,"pelayanan prima, ticdak mempersulit nasabah. yang terbaik buat mbak rosalina beru barus--",2
Bank Mandiri KCP Jakarta Wisma Tugu,5,pelayannya cepat dan ramah tamah.,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,"lemayanan cepat, staf ramah baik .",2
Bank Mandiri KCP Jakarta Wisma Tugu,5,mandiri wisma tugu terimakasih banyak atas pelayanannya cepat dan sangat baik,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,nyamn dan bersih,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,pelayananya sangat baik,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,tempatnya nyaman pelayanannya prima,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,pegawainya ramah2 selalu bantu terima kasih semuanya salam sehat selalu,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wisma Tugu,5,"rapih, bersih & pelayanannya sangat ramah",2
