Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Wolter Monginsidi,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,nyaman..adem bner lantinya kolinclong,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,pelayananya bagus dan sopan santun,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,stabil,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,staff baik dan ramah. cabang nya bersih dan bagus.. keren,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,help full,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,3,"ingin transaksi tarik tunai, counter ada 3 tetap hanya 1 yang buka (counter 3). counter 1 buka tetap info masnya yang jaga hanya untuk memasukkan nasabah dalam antrian yang seharusnya sudah bisa selesai di security bawah. paham karena teller 3 mungkin sedang",1
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"pelayanan nya mantap, ganti kartu atm enggak sampai 5 menit jadi",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"pelayanannya sangan cepat, keren banget semua staffnya.",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,gedungnya bersih pelayanannya ramah cs dan securitynya servicenya bagus,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,menyenangkan,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,pelayanannya bagus dan securitynya ramah,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,pelayanan dari ce teller dan security sangat baik. serta kondisi bank sangat bersih dan memuaskan,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"bagus pol cabangnya, pegawainya cepat tanggap",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,bagus cabangnya tellernya cepat,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,cepat pelayanannya,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,service sangat memuaskan,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,pelayanannya baik staff/ kry nya ramah2 dari pintu masuk kita sudah disambut dengan bapak security yang ramah pelayanan teller dan cs nya ramah dan kita bisa menunggu transaksi dengan nyaman karena disediakan tempat duduk. sukses terus bank mandiri wolter,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"pelayanan nya bagus, kakak teller nya asik, tempat ya adem",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"layanan cepat, transaksi cepat, petugasnya ramah, tempat nya bersih dan harum",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,"pagi pagi datang langsung di sambut,di bantu dengan securitynya, sigap mantap,ganti kartu di mesin atm,pertahankan pak fakhrur ,pak aldi",2
Bank Mandiri KCP Jakarta Wolter Monginsidi,1,"pelayanan paling buruk, dari satpam sampai teller nya (teller no.2) kamis 18.07.2024",0
Bank Mandiri KCP Jakarta Wolter Monginsidi,5,pelayanannya memuaskan,2
