Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Cikini,5,pelayanan lebih cepat dengan digital,2
Bank Mandiri KC Jakarta Cikini,5,mas toni saputra sangat friendly dalam mnjlskan serta dimengerti begitu pula dengan mbak dwi yang mnjlskan tentang cc .. pertahankan ya,2
Bank Mandiri KC Jakarta Cikini,5,pelayanan nya luar biasa sangat membantu petugas security dan teller nya sangat ramah helfull,2
Bank Mandiri KC Jakarta Cikini,5,"cs ramah dan helpingl, aula perbankan bersih dan man. keseluruhan mantap lah pokok nya",2
Bank Mandiri KC Jakarta Cikini,5,"cs nya cepat,ruangannya bersih dan dingin",2
Bank Mandiri KC Jakarta Cikini,5,"wah pelayanan customer service di sini sangat baik dan tidak menunggu lama, transaksi juga satset. best deh cs nya",2
Bank Mandiri KC Jakarta Cikini,5,cs nya informatif bgt. 5. livin saya akhirnya sudah bisa digunakan dan dipakai untuk transaksi2. terima kasih mbak putri,2
Bank Mandiri KC Jakarta Cikini,5,csnya baik dan berhasil menyelesaikan permasalahan livin saya. terima kasih mbak putri,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,1,layanan & komunikasi buruk,0
Bank Mandiri KC Jakarta Cikini,1,"tolong sampaikan sama karyawan anda yang bernama muhammad zachfier mezhar bagian mka yang sekarang jadi internal audit, tolong kembalikan uang saya yang tersisa 9.2jt, dan pihak mandiri cikin malah memindahkan karyawan tersebut ke tmp bank mandiri",0
Bank Mandiri KC Jakarta Cikini,1,"kesini mau print rek koran dan ref bank, dan di layani oleh security officer, setelah menunggu beberapa saat mereka bilang proses 3 hari jadi saya cabut dan ke cabang lain and yess,, di cabang lain bisa langsung jadi.",0
Bank Mandiri KC Jakarta Cikini,5,"tempat ketika tiba-tiba butuh uang cash, uang tunai.",2
Bank Mandiri KC Jakarta Cikini,5,ada tetap yang layanin enggak ya hariini,2
Bank Mandiri KC Jakarta Cikini,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KC Jakarta Cikini,5,"pelayanan nya cepat, transaksi cepat",2
Bank Mandiri KC Jakarta Cikini,5,"pelayanannya bagus,, mandiri cikini adalah bank masa kini",2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,"keamanannya membantu penuh, layanan pelanggan & teller nya ramah2",2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,melayani dengan ramah,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,pelayanannya cepat & ramah,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,konsepnya sudah digitalize dan petugasnya juga sangat sigap,2
Bank Mandiri KC Jakarta Cikini,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,semakin sukses dan lebih baik service nya,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,sangat sangman dan mukah transaksi,2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Cikini,5,"setiap hari transaksi disini, alhamdulillah saya puas degan pelayananana",2
Bank Mandiri KC Jakarta Cikini,5,sangat puas dengan pelayanan yang diberikan.,2
