Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Daan Mogot,5,setor tunai sangat mudah di mesin atm mandiri. untung ada satpam yang bantu.,2
Bank Mandiri KC Jakarta Daan Mogot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Daan Mogot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Daan Mogot,5,"lokasi strategis, tempat nyaman, pelayanannya mantab",2
Bank Mandiri KC Jakarta Daan Mogot,5,pelayanan'ya rama,2
Bank Mandiri KC Jakarta Daan Mogot,5,"tempat luas, bagus & pegawai ramah2",2
Bank Mandiri KC Jakarta Daan Mogot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Daan Mogot,5,pelayanan cepat dan ramah,2
Bank Mandiri KC Jakarta Daan Mogot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Daan Mogot,5,sangat puas dengan pelayanan yang diberikan.,2
