Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Falatehan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Falatehan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Falatehan,5,ramah,2
Bank Mandiri KC Jakarta Falatehan,5,layanan cepat dan mudah dipahami,2
Bank Mandiri KC Jakarta Falatehan,5,terima kasih pak arya elang atas bantuannya dalam proses pembukaan rekening kantor kami,2
Bank Mandiri KC Jakarta Falatehan,5,mas arya elang prakoso sangat membantu kami menjelaskan proses dan membantu pembukaan rekening badan hukum,2
Bank Mandiri KC Jakarta Falatehan,5,bagus,2
Bank Mandiri KC Jakarta Falatehan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Falatehan,5,"mantap pelayanannya oke, cs ramah. cetak atm lancar joss",2
Bank Mandiri KC Jakarta Falatehan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Falatehan,5,"pelayanannya tidak perlu diragukan lagi, gercep banget.",2
Bank Mandiri KC Jakarta Falatehan,5,"pelayanan bagus, lokasi strategis, sudah smart branch, pelayanannya satset gercep teller, cs. good deh 30 falatehan",2
Bank Mandiri KC Jakarta Falatehan,5,good,2
Bank Mandiri KC Jakarta Falatehan,5,"halo, saya yollanda , hari jumat tanggal 27 juli 2024 saya ke bank mandiri falatehan, masyaallah sekali pelayanan degan masalah saya yang ribet dan saya yang pelupa ini tapi kakak natali sijuntak 2 baik , sabar ramah dan sangt2 mebantu sehat sehat un natali ya.",2
Bank Mandiri KC Jakarta Falatehan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Falatehan,5,penukaran uang tersedia,2
Bank Mandiri KC Jakarta Falatehan,5,"pelayanannya baik, saya sangat dibantu oleh pegawai bank mandiri atas nama mbak astrid.",2
Bank Mandiri KC Jakarta Falatehan,5,mengurus keperluan mengganti kartu atm berakhir di bank mandiri di cabang ini dengan mbak dania rosadi.,2
