Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Fatmawati,1,"sudah beberapa kali ke bank mandiri fatmawati untuk setor uang, tapi pengalaman yang sama berulang. customer dikit tapi antrinya lama pol.. 1 orang bisa berlama2 di teller sampai sejam dua jam. sudah kayak bimbingan skripsi. entah teller nya yang",0
Bank Mandiri KC Jakarta Fatmawati,5,"pelayanan nya bagus, ramah keamanan, pegawainya ramah, top deh",2
Bank Mandiri KC Jakarta Fatmawati,5,karyawannya ramah ruanganya bersih,2
Bank Mandiri KC Jakarta Fatmawati,5,pelayanan memuaskan,2
Bank Mandiri KC Jakarta Fatmawati,5,oke,2
Bank Mandiri KC Jakarta Fatmawati,5,tellernya cepat,2
Bank Mandiri KC Jakarta Fatmawati,5,"oke, tunggu sebentar",2
Bank Mandiri KC Jakarta Fatmawati,5,pelayanan sekuriti bagus membantu buat pergantian kartu yang kedaluwarsa,2
Bank Mandiri KC Jakarta Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Fatmawati,2,kecewa banget tahun ini.. padahal kita nasabah di bank di tempat ini tapi untuk penukaran uang baru nya tidak dapat. padahal info dari bank mandiri depan blok a fatmawati katanya nasabah sana bisa tanpa perlu pakai apk dan hanya bawa atm ktp dan buku nya tapi ini malah enggak di kasih stak depan security sajja,0
Bank Mandiri KC Jakarta Fatmawati,1,antrian lama,0
Bank Mandiri KC Jakarta Fatmawati,1,"sudah 2 kali dikecewakan, lupa malah pilih cabang ini lagi. - antrian lama dan kurang jelas, apalagi setelah konsep diubah, harusnya memudahkan dan lebih efisien, ini malah lama dan membuang banyak waktu.",0
Bank Mandiri KC Jakarta Fatmawati,5,security ramah dan membantu sekali,2
Bank Mandiri KC Jakarta Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Fatmawati,5,keamanan bapak sigap & ramah bangett. ..kanti kartu cunta 5 mnt. makasii bpk security .,2
Bank Mandiri KC Jakarta Fatmawati,5,pelayanan super okey,2
Bank Mandiri KC Jakarta Fatmawati,5,"banking hall nyaman ac nya dingin, antriannya duduk menunggu di sofa, pelayanan gercep enggak pakai lama",2
Bank Mandiri KC Jakarta Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Fatmawati,5,"cabangnya keren sudah digitalisasi bngt, dan pelayananny dari security, cs, teller, dan petugas axa mandiri sangat membantu dalam permasalahan saya.",2
Bank Mandiri KC Jakarta Fatmawati,5,tempatnya nyaman dan bersih,2
Bank Mandiri KC Jakarta Fatmawati,5,pelayanan ramah deh baik juga nyaman,2
Bank Mandiri KC Jakarta Fatmawati,5,pelayanannya ramah. satpamnya sigap terhadap customer..,2
Bank Mandiri KC Jakarta Fatmawati,5,tempatnya nyaman dan bersih,2
Bank Mandiri KC Jakarta Fatmawati,1,keamanan enggak ramah,0
Bank Mandiri KC Jakarta Fatmawati,1,"dari jam 1an menunggu antrian cs sampai mau tutup,..waduh waduh",0
Bank Mandiri KC Jakarta Fatmawati,5,"bank nya sudah dengan interior yang baru, tempat duduknya juga nyaman untuk nunggu. satpamnya sigap dan membantu. lokasi pinggir jalan, dekat dengan perhentian tj. di sini ada layanan csm, mempermudah ganti kartu atm.",2
Bank Mandiri KC Jakarta Fatmawati,5,"mandiri kc fatmawati menawarkan pelayanan besar untuk kebutuhan kita, dan sejauh ini adalah yang terbaik kantor cabang membentuk bank mandiri, besar!",2
Bank Mandiri KC Jakarta Fatmawati,1,saya mau tarik cek rtgs 1.5 jam hebat pelayanannya,0
Bank Mandiri KC Jakarta Fatmawati,5,"alhmdlh.. pelayanannya jauh lebih baik dibandingkan dua kantor cabang bank mandiri lainnya.. cs nya sangat membantu dan sangat solutif.. tempatnya sangat nyaman, antrian tidak panjang.. enggak sia2 jauh2 ke sini.. trmksh bank mandiri kc jakarta fatmawati",2
