Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Gambir,5,layanan cepat dan ramah.,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,pelayanannya sangat ramah dari awal datang sampai dengan pelayanan dengan cs table 5,2
Bank Mandiri KC Jakarta Gambir,5,terima kasih pelayanannya yang memuaskan,2
Bank Mandiri KC Jakarta Gambir,5,memuaskan,2
Bank Mandiri KC Jakarta Gambir,5,"pelayanan rama degan kak erika silvia dewi oktarina, terima kakih sudah di bantu",2
Bank Mandiri KC Jakarta Gambir,1,"useless cs machine, ganti kartu enggak bisa",0
Bank Mandiri KC Jakarta Gambir,5,tempat nyaman dengan pelayangan full service,2
Bank Mandiri KC Jakarta Gambir,5,pelayanan cepat untuk ganti kartu,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,pelayanan sangat baik,2
Bank Mandiri KC Jakarta Gambir,5,tempat nya sangat luas..pelayanan super mantap..adem bangat..,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,pelayanan cs sangat baik. meja no.2 namanya mbak erika silvia terbaik.,2
Bank Mandiri KC Jakarta Gambir,5,"security sangat baik, cs mbak dena sangat ramah, overall pelayanan sangat baik terimakasih",2
Bank Mandiri KC Jakarta Gambir,5,pelayanan ramah n gercap.,2
Bank Mandiri KC Jakarta Gambir,5,"tempat nya luas, ac nya adem, pelayanannya ramah, satset juga tellernya, securitynya sangat membantu buat nasabah yang datang!! semoga selalu dipertahankan untuk pelayanannya agar selalu membuat nasabah nyaman!!",2
Bank Mandiri KC Jakarta Gambir,5,cs no 2 baik dan ramah membantu transaksi saya,2
Bank Mandiri KC Jakarta Gambir,5,"pelayanan yang ramah, cepat dan tanggap membuat pelanggan merasa nyaman",2
Bank Mandiri KC Jakarta Gambir,5,"pelayanannya bagus sekali, dilayani mbak erika membuat segala keperluan saya menjadi mudah, terima kasih bank mandiri terima kasih mbak erika",2
Bank Mandiri KC Jakarta Gambir,5,banking hall nyamna layanan memuaskan,2
Bank Mandiri KC Jakarta Gambir,5,"tempatnya bersih, luas, dingin, dan nyaman. untuk pelayanan mulai dari security, customer service, especially tellernya murah senyum dan selalu menyapa nasabah dengan baik. pelayanan teller terbaik! cepat tanggap mengenai setiap persoalan nasabah. pokoknya pelayanan mandiri kc gambir ini the best! keep up the good work!",2
Bank Mandiri KC Jakarta Gambir,5,"pelayanannya ramah dan baik, informasi yang diberikan kepada saya terkait aktivitas perbankan cukup dan sangat jelas serta sangat membantu saya. good job",2
Bank Mandiri KC Jakarta Gambir,5,"cabangnya bagus, nyaman dan luas, staffnya ramah ramah",2
Bank Mandiri KC Jakarta Gambir,1,"pelayanannya buruk sudah tunggu lama, banyak alasan dan tidak ada solusi. tellernya mengomong bolak balik. sebentar bilang bisa diproses terus bilang tidak bisa diproses. the worst branch sok far",0
Bank Mandiri KC Jakarta Gambir,5,"tempat luas, dingin, cs ramah namanya mbak dena, the best, semoga bisa ada yang lebih menarik lagi terima kasih",2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,pelayanannya top.,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,mantab.,2
Bank Mandiri KC Jakarta Gambir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Gambir,5,pelayanan nya ramah.. kondisi cabang bersih nyaman dan harum,2
