Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Green Ville,5,bank mandirinya keren gedungnya bagus nyaman luar biasa,2
Bank Mandiri KC Jakarta Green Ville,5,"pelayanan sangat cepat dan ramah tempatnya juga nyaman, good job",2
Bank Mandiri KC Jakarta Green Ville,5,mantaapp pelayanannya bangunan baru fresh ok bangets,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,bank nya keren bagus baru,2
Bank Mandiri KC Jakarta Green Ville,5,mantap,2
Bank Mandiri KC Jakarta Green Ville,5,bank nya keren bagus,2
Bank Mandiri KC Jakarta Green Ville,5,bank mandiri keren bagus cabangnya,2
Bank Mandiri KC Jakarta Green Ville,5,nyaman bank nya bagus,2
Bank Mandiri KC Jakarta Green Ville,5,tks pelayanannya cs,2
Bank Mandiri KC Jakarta Green Ville,5,terima kasih kak gusti,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,"bank mandiri greenville tempatnya bersih ,buat nomor cs 3 bu gusti septiyati kakaknya ramah dan baik",2
Bank Mandiri KC Jakarta Green Ville,5,masyarakatnya sangat membantu,2
Bank Mandiri KC Jakarta Green Ville,5,bank mandiri nya keren bagus yang sekarang lebih terang,2
Bank Mandiri KC Jakarta Green Ville,5,mbak adelle baik. ..pleyanan memuaskan,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,teller nya ramah,2
Bank Mandiri KC Jakarta Green Ville,5,bank nya keren rapi bersih mantap,2
Bank Mandiri KC Jakarta Green Ville,5,solutif cs nya mbak nita. trmksh,2
Bank Mandiri KC Jakarta Green Ville,5,bank nya rapi bersih wangi,2
Bank Mandiri KC Jakarta Green Ville,5,bank nya bagus kondisi saat ini karena gedung baru cakep,2
Bank Mandiri KC Jakarta Green Ville,5,"masya allah, saya sangat suka dengan pelayanannya cs. ramah dan sangat membantu. terima kasih mbak gusti septiyarti, anda sudah sangat sabar membantu saya. terima kasih",2
Bank Mandiri KC Jakarta Green Ville,5,"senang sekali di layani oleh ibu nita kusworo ramah , dan jelas sekali penjelasannya,",2
Bank Mandiri KC Jakarta Green Ville,5,sangat baik dan sangat ramah sekali pokoknya best pelayanannya,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan bagus dan cepat,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanannya sangat baik dan ramah,2
Bank Mandiri KC Jakarta Green Ville,5,"cs,baik pelayanannya memuaskan.satpamnya juga ramah",2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan yang sangat ramahh,2
Bank Mandiri KC Jakarta Green Ville,5,pelayananan sama tempatnya bagus,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,1,bad service.. diselak terus. enggak kenal enggak di layanin.. itu prinsipnya,0
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan baik,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan nya ramah,2
Bank Mandiri KC Jakarta Green Ville,5,"pertama kali ke mandiri,semua staf ramah,tempatnya juga bersih,sehat2 selalu semuanya",2
Bank Mandiri KC Jakarta Green Ville,5,"bangunan baru bagus,nyamann. pegawai informatif dan ramah",2
Bank Mandiri KC Jakarta Green Ville,5,sangat baik,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan cepat,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan baik dan ramah,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,"bank mandiri jakarta green ville petugas nya ramah ramah dari satpam, petugas parkir dan petugas untuk melayani antrian nya pokoknya enak banget kalau mengantri penukaran uang di mandiri ini.pokoknya poll untuk karyawan karyawan nya",2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,pelayanan ramah dan sangat membantu,2
Bank Mandiri KC Jakarta Green Ville,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Green Ville,5,petugas nya sangat ramah dan satset,2
Bank Mandiri KC Jakarta Green Ville,5,"cabang yang bagus. pelayanannya, mulai dari satpam hingga customer service sangat ramah dan membantu untuk melakukan aktivitas transaksi.",2
