Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Jatinegara Timur,5,nice,2
Bank Mandiri KC Jakarta Jatinegara Timur,1,tiap tahun kesini masa ac nya dalam perbaikan mulu enggak memikirkan kenyamanan nasabah,0
Bank Mandiri KC Jakarta Jatinegara Timur,5,mengurus sama banking cepat dan mudah,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,"security yang ramah dan melayani dengan baik, cs dan teller nya juga melayani dengan cepat dan baik serta ramah"" terhadap nasabah.terbaik selalu jadi pelanggan jatinegara timur",2
Bank Mandiri KC Jakarta Jatinegara Timur,5,"tempatnya luas bagus, rapih, bersih, pelayanan nya ramah,the best",2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,"pelayanan nya cepat,ramah dan enggak sombong,..tempat nya bersih,nyaman,..mantab pokoknya,..trima kasih bank mandiri.",2
Bank Mandiri KC Jakarta Jatinegara Timur,1,"pelayanan per kepala sangat lama, tidak solutif, per kehadiran kamis 14/2, baru pertama kali lihat cs bisa mondarmandir ditengah melayani pelanggan",0
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,pelayanan baik,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,terimakasih atas pelayanan nya hatur nuhun,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,"pelayanannya baik, cepat, tellernya sopan dan baik,",2
Bank Mandiri KC Jakarta Jatinegara Timur,5,terimakasih pelayanan yang baik di bank jati negara timur.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,playanan nya ok,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,pelayanannya ramah tellernya cantik,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,pelayanan ramah mulai dari security nya cs dan tellernya terbaik,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,tempat nyaman strategis gampang di akses..,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,pelayanannya baik.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,"bagus, bersih dan juga karyawan nya baik baik",2
Bank Mandiri KC Jakarta Jatinegara Timur,5,enak adem udaranya segar kayak di puncak,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Jatinegara Timur,5,nice,2
