Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Kebon Sirih,1,enggak tau gue bener-bener kecewa banget untuk yang kesekian kalinya. bener-bener enggak pernah puas sama sekali. pengin banget enggak mau ada urusan sama nih bank tapi payroll gua bank ini . gua datang dengan antrian 15 dan sudah di antrian 14,0
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,1,"bad service. diskriminatif. tukar uang rusak tidak bisa, padahal sudah antri lama. harusnya bilang di awal. pada akhirnya tukar uang di cabang mandiri yang lain dan bisa.",0
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,5,pelayanan prima,2
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,1,"pelayanan cs atas nama tya sangat tidak profesional , masa cek belum di aktifin dan belum di subsmit padahal saya sudah kasih dokumennya , sampai menunggu 3 jam di kc rawa belong ! parah sih ini buang buang waktu , dan sampai saat ini juga user id dan hard token belum jadi jadi padahal janjinya 5 hari kerja !",0
Bank Mandiri KC Jakarta Kebon Sirih,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kebon Sirih,5,puas,2
Bank Mandiri KC Jakarta Kebon Sirih,5,pelayanannya bintang 5,2
Bank Mandiri KC Jakarta Kebon Sirih,5,pelayanannya cepat dan ramah banget,2
Bank Mandiri KC Jakarta Kebon Sirih,1,"pelayanan sangat buruk, cs tidak paham-paham dengan apa yang disampaikan customer. kami sudah mengajukan pembukaan akun kopra dari bulan november 2024, namun sampai sekarang tidak jadi-jadi. cs dijelasin berkali-kali enggak paham, staf yang",0
Bank Mandiri KC Jakarta Kebon Sirih,5,terimakasih banyak untuk pelayanan yang sangat ramah dari kakak2 cs,2
