Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,"baik, ramah, dan layanan pelanggan cepat",2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,memakai itu easy,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,pelayanan memuaskan,2
Bank Mandiri KC Jakarta Kyai Tapa,5,pelayanan sangat baik,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sukses selalu ya,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Kyai Tapa,5,layanannya baik cepat,2
Bank Mandiri KC Jakarta Kyai Tapa,5,layanannya cepat bagus,2
Bank Mandiri KC Jakarta Kyai Tapa,5,"tempatnya nyaman, security nya baik layanannya baik dan cepat",2
Bank Mandiri KC Jakarta Kyai Tapa,5,sangat puas dengan pelayanan yang diberikan.,2
