Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Pasar Rebo,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KC Jakarta Pasar Rebo,4,tolong dijawab buat kartu debit di mesin csm bisa dijam operasional.,2
Bank Mandiri KC Jakarta Pasar Rebo,2,"nomor telpon nya di update dong, masa tiap di telpon enggak menyambung terus, padahal fasilitas dll bagus banget",0
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,teller nya ramah dan sopan,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan 10/10,2
Bank Mandiri KC Jakarta Pasar Rebo,1,dari jam 12.00 sampai jam 15.00 lama banget nunggunya,0
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan terbaik,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan terbaik satpam dan semua staff ramah ke customer.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,alhamdulillah..,2
Bank Mandiri KC Jakarta Pasar Rebo,5,bank sangat nyaman pelayanan oke,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan cepat,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanannya ramah,ac dingin",2
Bank Mandiri KC Jakarta Pasar Rebo,5,baik banget pelayanannya,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan cs teller baik ramah,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"terimakasih telah membantu kami, memberikan pelayanan yang baik saat kami membutuhkan bantuan anda",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanannya sangat baik,responsif.cs nya juga ramah",2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"cs tellernya ramah, keren, cantik, gemoyy",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"cs teller ramah, baik, cantik",2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan memuaskan,2
Bank Mandiri KC Jakarta Pasar Rebo,5,penjelasan ok,2
Bank Mandiri KC Jakarta Pasar Rebo,5,aku benci itu,2
Bank Mandiri KC Jakarta Pasar Rebo,5,terbaik,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanan cepat, karyawan ramah",2
Bank Mandiri KC Jakarta Pasar Rebo,5,pas rebo pelayanannya baik-baik,2
Bank Mandiri KC Jakarta Pasar Rebo,5,cab pas rebo keren ok pelayanannya,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"layanan ramah tamah, murah senyum",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanan cepat, cara penyampaian enak di dengar dan mudah di pahami",2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan bagus,2
Bank Mandiri KC Jakarta Pasar Rebo,5,terimakasih pelayanan nya,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayananya cepat ramah dan sangat membantu sekali terimakasih banyak,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,karyawan yang ramah dan pelayanan memuaskan,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanan cs ramah banget, sangat membantu",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanan mulai dari security disambut dengan baik, karena tujuan mau ke teller jadi kita diantar sampai menuju ke arah teller. pelayanan teller cepat dan teliti. terimkasih team sudah bantu",2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pengalaman yang mengancam.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,gb pas rebo sangat baik terbantu sekali,2
Bank Mandiri KC Jakarta Pasar Rebo,5,cs an ami sangat ramah sangat terbantu untuk trx pembukaan rek giro,2
Bank Mandiri KC Jakarta Pasar Rebo,5,cs cepat ramah,2
Bank Mandiri KC Jakarta Pasar Rebo,5,cs ramah,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"ramah bgt, baik banget cs nya",2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanannya sangat bagus dan cepat security nya juga gerak cepat membantu antrian,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayanan cs teller ramah baik,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanannya baik dan ramah sekali, produk layanan lengkap memuaskan, lokasi sangat strategis sehingga mudah dijangkau pokokya good deh cabang pas rebo",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"mbak eggy baik sekali, pelayanannya oke, mantap cabang pasar rebo",2
Bank Mandiri KC Jakarta Pasar Rebo,5,service nya bagus dan memuaskan,2
Bank Mandiri KC Jakarta Pasar Rebo,5,pelayananan ok,2
Bank Mandiri KC Jakarta Pasar Rebo,5,tellernya helpfull,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"security dan cs sangat responsif. cabang juga canggih, jadi pelayanannya bisa satset",2
Bank Mandiri KC Jakarta Pasar Rebo,5,"pelayanan sangat baik dan ramah, kcp juga bagus",2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,1,"tempat nya bagus,tpi enggak sesuai sama kinerja,sangat lama,maaf bikin mood ancur.",0
Bank Mandiri KC Jakarta Pasar Rebo,1,"pelayanan sangat burut,sangat lama,memperioritaskan orang orang berseragam pp dari pada nasabah umum.",0
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat memuaskan sekali untuk pelayanannya,2
Bank Mandiri KC Jakarta Pasar Rebo,5,aplikasi gunung,2
Bank Mandiri KC Jakarta Pasar Rebo,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,keren,2
Bank Mandiri KC Jakarta Pasar Rebo,5,"tempatnya bersih servicenya excellent banget., ramah ramah dan cepat banget pelayanannya",2
Bank Mandiri KC Jakarta Pasar Rebo,1,"bank paling lemot sedunia, tunggu 1,5 jam antri belum dipanggil juga jadi pindah bank deh ampun",0
Bank Mandiri KC Jakarta Pasar Rebo,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pasar Rebo,5,sangat puas dengan pelayanan yang diberikan.,2
