Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,setiap minggu ke4 akhir bulan transaksi kesini,2
Bank Mandiri KC Jakarta Plaza Mandiri,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KC Jakarta Plaza Mandiri,5,csnya ramah,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,nasution gb agustina keren banget,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,mantap banget pelayanan..,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,nice branch,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,keren,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,top mantap adalah yang terbaik,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,pelayanan cepat ramah,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,2,proses pembuatan bank garansi memakan waktu sangat lama. mungkin perlu tambahan personil di divisi bang,0
Bank Mandiri KC Jakarta Plaza Mandiri,5,"pelayanan ramah, tempat nyaman dan bersih",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,cabang dengan pelayanan baik dan responsif,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,tempat yang bagus.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,bagus dan nyaman,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,transaksi cepat dan mudahh bestt bangett,2
Bank Mandiri KC Jakarta Plaza Mandiri,1,"kalau mengingatkan nasabah kpr yang enggak pernah telat bayar jangan lah tlp2 atau hubungi keluarga/kerabat terdekat, itu sangat mengganggu, saran nasabah yang enggak pernah telat bayar cicilan kpr cukup pesan wa atau sms. deh kayak pinjol saja bank besar ini.",0
Bank Mandiri KC Jakarta Plaza Mandiri,5,pelayanan nya ramah best,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,petugasnya rama,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,2,pertama kali untuk ikut rups mandiri. (saya pikir ini baik) namun perlu saya backlist. kenapa i don't like it. untuk orang yang main serobot2 tempat. pegawai yang tidak ramah samsek.,0
Bank Mandiri KC Jakarta Plaza Mandiri,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KC Jakarta Plaza Mandiri,5,terbaik,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,pelayanan jb sangat bagus dan ramah,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"mantap pelayanan nya ramah, tempatnya nyaman, soon mau kesini lagi kalo ke bank",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"pelayanannya ramahh, staffnya juga baik baik dijamin nyaman tempatnya",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,terbaikt,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,very excellent service.. plus sekarang ada lounge khusus migas.. keren,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"security ramah sopan pelayanan di cs dan teller juga oke, cepat banget kantornya pun bagus banget keren",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"oke sih, semua proses perbankan cepat disini welcome banget pegawainya",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,mantul,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"pelayan yang sangat baik, untuk tempat nya juga sangat nyaman.",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,ruangannya rapi,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,"ruangannya nyaman, customer servicenya mantap.",2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Plaza Mandiri,5,pelayanannya ramah ramah,2
