Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanan yang sangat baik dan tempatnya nyaman,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanan nya baik ruangan nya bersih,2
Bank Mandiri KC Jakarta Pluit Selatan,5,"cabangnya bagus,nyaman,dan pelayanannya sangat baik",2
Bank Mandiri KC Jakarta Pluit Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,mandiri yang bagus disini doang ya,2
Bank Mandiri KC Jakarta Pluit Selatan,5,kupang yaman dan tongkat ramah,2
Bank Mandiri KC Jakarta Pluit Selatan,5,"kantor cabangnya rapih, bersih, staff nya ramah, malayani nasabahnya dengan sepenuh hati tanpa ragu",2
Bank Mandiri KC Jakarta Pluit Selatan,5,"pelayanan ramah, kantor rapi",2
Bank Mandiri KC Jakarta Pluit Selatan,5,terbaik,2
Bank Mandiri KC Jakarta Pluit Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanan baik,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya bagus dan cepat. kantor nyaman dan bersih. terimakasih..,2
Bank Mandiri KC Jakarta Pluit Selatan,5,proses kredit disini sangat cepat dan mudah. pelayanannya memuaskan sekali. kantor nyaman dan bersih.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya bagus dan memuaskan. proses kredit cepat dan mudah. terimakasih..,2
Bank Mandiri KC Jakarta Pluit Selatan,5,"buka rekening online cepat, terima kasih",2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya ramah dan baik sekali. proses kredit disini sangat cepat dan mudah. kantornya bersih dan nyaman.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya sangat memuaskan. kantor nyaman dan bersih.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya ramah. proses kredit cepat. kantor nyaman dan bersih.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya memuaskan sekali. proses kredit disini sangat cepat dan mudah. kantornya nyaman dan bersih.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,pelayanannya sangat memuaskan. proses kredit cepat dan mudah. terimakasih mandiri pluit selatan.,2
Bank Mandiri KC Jakarta Pluit Selatan,5,"pelayanan di bank mandiri pluit selatan bagus dan memuaskan dalam segi apapun, terimakasih bank mandiri",2
Bank Mandiri KC Jakarta Pluit Selatan,5,security ramah parkir luas sangat membantu konsumen yang kurang faham,2
Bank Mandiri KC Jakarta Pluit Selatan,5,"staf nya ramah, bersahabat, bersih & nyaman",2
