Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Pondok Indah,5,pembuatan kartu atas rekening baru sangat cepat dan helpfull sekali. terimakasih mandiri pim 1,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat membantu,2
Bank Mandiri KC Jakarta Pondok Indah,5,"ganti kartu lewat mesin,okey banget",2
Bank Mandiri KC Jakarta Pondok Indah,5,pembuatan kartu sangat cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,"cabangnya nyaman, karyawannya baik baik.",2
Bank Mandiri KC Jakarta Pondok Indah,1,"dulu buka weekend banking tapi sekarang kenapa tutup yah?jd sulit kalau mau ada urgent transaksi cash di sabtu minggu pakai rek mandiri, untung ada bank baca dan bri di sebelahnya jadi dana bisa dipindah ke bank lain dulu baru di tarik cash",0
Bank Mandiri KC Jakarta Pondok Indah,5,ganti kartu lewat mesin lebih cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,smart branch lebih cepat transaksinya,2
Bank Mandiri KC Jakarta Pondok Indah,5,ganti kartu gampang dan cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,terima kasih mandiri,2
Bank Mandiri KC Jakarta Pondok Indah,5,baik memberkati lu,2
Bank Mandiri KC Jakarta Pondok Indah,5,"cs mandiri mesini pim 1, di bantu dengan security pelayanan nya goodbob",2
Bank Mandiri KC Jakarta Pondok Indah,5,eh gant kartu lewat mesin lebih cepat hanya 1 menit,2
Bank Mandiri KC Jakarta Pondok Indah,5,"bikin kartu baru gampang banget dan enggak sampai satu menit pakai mesin, apa lagi dibantu pak agus abdul super baik banget!! terima kasih pak agus abdul!",2
Bank Mandiri KC Jakarta Pondok Indah,5,"terima kasih banyak atas pelayan ekstra dan sigap yang diberikan pak sebriendi, saat saya mghadapi kendala menghubungi call center untuk konfirmasi pemblokiran kartu.",2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,ganti kartu lewat mesin lebih cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,baik ramah scurity ramah sekali membantu setiap proses transaksi,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,cadang digital,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,"ganti kartu dengan mesin sangat mudah, pelayanan nya baik",2
Bank Mandiri KC Jakarta Pondok Indah,5,cabang nya sudah digital ada copy shop,2
Bank Mandiri KC Jakarta Pondok Indah,5,bagus pelayanan nya,2
Bank Mandiri KC Jakarta Pondok Indah,5,mengganti kartu debit via csm lebih cepat dan mudah. terima kasih pak sekuriti yang membantu,2
Bank Mandiri KC Jakarta Pondok Indah,5,cetak kartu lewat mesin lebih cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,"cepat, tanggap security nya",2
Bank Mandiri KC Jakarta Pondok Indah,5,"proses cetak kartu qga sampai 5 menit, security sangat helpful",2
Bank Mandiri KC Jakarta Pondok Indah,5,cetak kartu lewat mesin lebih cepat,2
Bank Mandiri KC Jakarta Pondok Indah,5,buka blokir dengan mesin lebih mudah,2
Bank Mandiri KC Jakarta Pondok Indah,5,buat kartu kewat mesin csm kebih mulah,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,"keren banget cabangnya, paegawainya super helpfull",2
Bank Mandiri KC Jakarta Pondok Indah,5,bintang lima ramahh beut,2
Bank Mandiri KC Jakarta Pondok Indah,5,mantap pelayanannya,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,"pelayanannya bagus, cepat dan orang-orangnya ramah.",2
Bank Mandiri KC Jakarta Pondok Indah,5,cabang sudah digital,2
Bank Mandiri KC Jakarta Pondok Indah,5,"ramah satpamnya membantu syekalii, trimakasih mandiri, terus berikan yang terbaik yaa",2
Bank Mandiri KC Jakarta Pondok Indah,5,tempatnya luas dan nyaman.pegawainya ramah2.makasih,2
Bank Mandiri KC Jakarta Pondok Indah,5,mantap,2
Bank Mandiri KC Jakarta Pondok Indah,5,good,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,pelayanannya oke banget,2
Bank Mandiri KC Jakarta Pondok Indah,5,keren,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Indah,5,pelayanan ramah dan cepat melayani nasabah dan juga fasilitasnya sudah digital mantap mandiri!,2
Bank Mandiri KC Jakarta Pondok Indah,5,"pelayanan nya yang sangat baik, dan tim teller dan security nya sangat membantu",2
Bank Mandiri KC Jakarta Pondok Indah,5,"pelayanan nya mantap, cs dan teller nya ramah ramah keren pokoknya",2
Bank Mandiri KC Jakarta Pondok Indah,5,semua karyawannya ramah dan juga sangat membantu dalam pembuatan kartu mandiri,2
Bank Mandiri KC Jakarta Pondok Indah,5,tempatnya nyaman dan pelayanan juga mantap,2
Bank Mandiri KC Jakarta Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
