Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Pondok Kelapa,5,ada yang bisa top up ksm. ?,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,om tyo mantap pelayanannya,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"cs mantap, mas tyo",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,mantap,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,bagus,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat membantu,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanan yang baik,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,petagas csnya sangat ramah dan menjelaskan setigap masala degan jelas kepada nasabah,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,wulan cs ramah pelayanan cepat,2
Bank Mandiri KC Jakarta Pondok Kelapa,1,jam buka enggak sesuai di maps,0
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,1,bilang prioritas ke satpam dikasih private lounge tapi menunggu lama akhirnya ambil no antrian biasa sktr 25 minta an. cs cuma 1 dan cs kurang ramah dan senyum. prioritas tapi enggak prioritas pelayanannya. tolong di perbaiki ya.,0
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"pelayanannya ramah, tempatnya nyaman dan juga servicenya bagus",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"keamanan, cs, teller rama, pelayanan ok",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"tiap ruangan bersih, pelayanan sangat ramah",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanan sangat baik dan cepat,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanan memuaskan,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"pelayanan cs, teller dan staff lain sangat ramah, tempat bersih, nyaman",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,layanan yang baik,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanannya sangat bagus,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,teller nya mbak indah gercep banget kerjanya . enggak ada drama antri lama deh kalo disini,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,tellernya gercepp banget,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,peleyan rama cs keamanan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"pelayanan ramah cs nya, mas tio helpfull",2
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanan di teller sangat helpfull dan ramah,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,terima kasih sudah bantu saya dan pelayanan.a yang ramah,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pondok Kelapa,1,di hari jumat pelayanan staff hanya 1 proses sangat lama jadinya,0
Bank Mandiri KC Jakarta Pondok Kelapa,5,pelayanan memuaskan teller ramah,2
Bank Mandiri KC Jakarta Pondok Kelapa,5,"pelayanan ramah, cs nya cepat tanggap.",2
