Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat ramah dan baik,2
Bank Mandiri KC Jakarta Pulogadung,5,pelayanannya bagus,2
Bank Mandiri KC Jakarta Pulogadung,5,"petugasnya baik diarahin sampai rekeningku jadi, satpam juga mau minjemin hp karena hp aku emot lovee",2
Bank Mandiri KC Jakarta Pulogadung,5,pelayanan baik dan ramah,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat baik,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat bagus dalam penanganan customer,2
Bank Mandiri KC Jakarta Pulogadung,5,tolong bantu aku,2
Bank Mandiri KC Jakarta Pulogadung,5,keren pelayanannya,2
Bank Mandiri KC Jakarta Pulogadung,5,ramah keamanan mantap,2
Bank Mandiri KC Jakarta Pulogadung,5,pelayanannya cepat ramah,2
Bank Mandiri KC Jakarta Pulogadung,5,ramah keamanan,2
Bank Mandiri KC Jakarta Pulogadung,5,pelayanan baik dan cepat,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Pulogadung,5,pelayanan cs baik,2
Bank Mandiri KC Jakarta Pulogadung,5,"good banget pelayanan nya, baik banget",2
Bank Mandiri KC Jakarta Pulogadung,5,sempurna untuk keamanan,2
Bank Mandiri KC Jakarta Pulogadung,5,bagus,2
