Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Sudirman,5,"lokasi nya strategis, dekat scbd & mrt. tempatnya juga nyaman,borang nya ramah2",2
Bank Mandiri KC Jakarta Sudirman,5,pelayannya baik,2
Bank Mandiri KC Jakarta Sudirman,5,pelayanan ramah dan baik semua,2
Bank Mandiri KC Jakarta Sudirman,5,excellent,2
Bank Mandiri KC Jakarta Sudirman,5,tempatnya nyaman,2
Bank Mandiri KC Jakarta Sudirman,5,pelayanan nya bagus dan cepat.,2
Bank Mandiri KC Jakarta Sudirman,2,pelayanannya memuaskan sesuai dengan waktunya,0
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Sudirman,5,pelayanan cepat dan helpfull,2
Bank Mandiri KC Jakarta Sudirman,5,"teller nya ramah, cepat dan sangat membantu. tempat menunggu nya bersih",2
Bank Mandiri KC Jakarta Sudirman,5,pelayanan nya ok dan tim nya ramah,2
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Sudirman,5,petugas sangat ramah dan juga cepat,2
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Sudirman,5,tempat nya nyaman dan bersih . pelayanan nya bagus dan baik.,2
Bank Mandiri KC Jakarta Sudirman,5,terimakalih telah membantu transaksi saya,2
Bank Mandiri KC Jakarta Sudirman,5,pelayanannya baik dan solutif. terimakasih,2
Bank Mandiri KC Jakarta Sudirman,5,sangat puas dengan pelayanan yang diberikan.,2
