Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan ramah bintang 5,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik banget pelayanan ya terimakasih banyak ya ba sudah membantu kami dengan cepat dan tepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan cepat dan ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"pelayanan baik, staff ramah,",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan yang baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,ok mantap ..,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan nya oke,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,alam para dewa,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,1,"pelayanan tidak memuaskan, saya ingin membuka rekening baru tetapi karena livin mandiri sedang mengalami error sistem saya datang ke cabang terdekat. sesampainya datang ke kantor saya ceritakan kepada security dan petugas disana dan diminta",0
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayananya cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik dan ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan baik dan ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan sangat memuaskan dan pegawainya ramah-ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"ramah, baik",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,wow,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya sangat memuaskan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,aduh baik banget sih pelayanan nya pengin rasanya bikin kartu sebanyak banyaknya biar ketemu mbak nya,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat mandiri sekali,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,oke,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik banget,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayan sangat ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan ramah dan cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayan memuaskan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan bagus dan ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanannya baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan nya baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"respon cepat ,pembuatan rekening mudah . sangat memuaskan",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,jos,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,mantap cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan nya bagous mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan nya mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan sangat baik dan sopan satpam dan teller nya ok baik smuanya terima kasih,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,cabang sangat memuaskan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,cabang memuaskan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan memuaskan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan yang baik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"pelayanan yang sangat ramah mulai dari staff keamanan sampai dengan petugas pelayannya, sukses selalu bank mandiri",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"proses kita cepat banget, sehari kelar",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan oke,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan bagus dan tempatnya bersih. topp,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,keren banget penjelasannya. sukses teruss,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"pelayanan sangat baik, ramah dan helpful.",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,keren cabang ramah,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,cabang enggano mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"ramah ,bersih,dan nyaman",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,mantap,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"customer service nya ramah, semoga sukses semuanya",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"cepat, tepat dan alhamdulillah dapat parfum good joob",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"pelayanan cs baik sekali, petugasnya ramah dan tempatnya nyaman",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"tempat nyaman, pelayanan customer service sangat membantu, staff ramah",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,"pelayanan sangat baik dan ramah, terimakasih banyak",2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,terbaik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bangunan bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bagus pelayanan,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan ramah dan cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,pelayanan cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,cepat pelayanannya,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,terbaik,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,yang terbaik selamanya,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,bagus,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,keren pelayananya,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,layanan cepat,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tanjungpriok Enggano,5,terimakasih sudah membantu penukaran uangnya,2
