Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Tebet Supomo,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan bagus dan cepat,2
Bank Mandiri KC Jakarta Tebet Supomo,5,mantap sekali,2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanannya bagus,2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,customer service (ria) sangat membantu menanani keluhan saya,2
Bank Mandiri KC Jakarta Tebet Supomo,5,cabangnya bersih pelayanan cs palugada best,2
Bank Mandiri KC Jakarta Tebet Supomo,1,saya enggak suka satpam nya kurang ramah sama tamu judess banget saya juga pelnggan mandiri,0
Bank Mandiri KC Jakarta Tebet Supomo,5,"cepat, baik, lancar",2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan sangat ramah, responsif dalam memberikan informasi dan cabang nya nyaman",2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan nya bagus cs nya ramah dan tempat nya bersih wangi,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan cepat, ramah dan tempatnya nyaman",2
Bank Mandiri KC Jakarta Tebet Supomo,5,sales nya baik bisa membantu dengan baik dan informatif,2
Bank Mandiri KC Jakarta Tebet Supomo,5,karyawan sigap dan ramah,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"map titiknya tidak sesuai, jauh dari titik map ke lokasi bank yang sebenarnya. pelayanannya bagus dan cepat",2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan bagus,2
Bank Mandiri KC Jakarta Tebet Supomo,5,hayo buka rekening ke sini.. dilayani dengan front liner yang ramah,2
Bank Mandiri KC Jakarta Tebet Supomo,5,ramah jadi ke sodara,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayannya cepet, staffnya ramah mbak patrikia terbaknya pokoknya .",2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"scurty sopan,cs cepat dan bersih",2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanannya cepat,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"baik semua pelayanannya ramah cepat , csnya baik yang ku kenal mbak ria dan mbak ayu love banget",2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan nya ramah & baik , terima kasih sudah melayani customer dengan baik . sukses selalu",2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,bagus sekali pelayanan nya saya senang datang ke bank mandiri tebet supomo,2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan nya bagus sekali :),2
Bank Mandiri KC Jakarta Tebet Supomo,5,"layanan sangat baik, respon cepat dan membantu .",2
Bank Mandiri KC Jakarta Tebet Supomo,5,"teller nya ramah,sopan, dan tempat nya bersih",2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,cabangnya mantap,2
Bank Mandiri KC Jakarta Tebet Supomo,5,sukses selalu dan tetap yang terbaik untuk customer..,2
Bank Mandiri KC Jakarta Tebet Supomo,5,kekuatan satelitnya penuh.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,cepat dan nyaman,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan menyenangkan, ramah dan baik costumer service nya ,",2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan nya baik dan cepat. satpam nya juga ramah,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayannya baik, cepat, ramah cabang bersih adem dingin. mbak trias terbaik pelayanannya cepat tanggap dan ramah. sukses terus bank mandiri tebet supomo",2
Bank Mandiri KC Jakarta Tebet Supomo,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,good,2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan baik dan rama,2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan super cepat dan ramah,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan baik dan ramah, terima kasih",2
Bank Mandiri KC Jakarta Tebet Supomo,5,pelayanan bagus dan ramah,2
Bank Mandiri KC Jakarta Tebet Supomo,5,rama pelayanan,2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"staff nya ramah, sangat membantu, ruangan menyenangkan dan nyaman. semoga tambah maju bank mandiri cabang soepomo tebet.",2
Bank Mandiri KC Jakarta Tebet Supomo,5,good,2
Bank Mandiri KC Jakarta Tebet Supomo,5,"pelayanan nya sangat baik, orang-orang nya ramah dan murah senyum.",2
