Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KC Jakarta Thamrin,1,telah terjadi di sini untuk beberapa kali dan satu hal yang dapat dilihat adalah bagaimana lambat dan tidak efektif proses ini. .,0
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,1,pelayanan nya luama sekali,0
Bank Mandiri KC Jakarta Thamrin,2,pelayanan cs lama,0
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,"pelayanan baik, mantab",2
Bank Mandiri KC Jakarta Thamrin,5,cabangnya bagus pelayanannya bagus.. teller ramah ramah. apalagi kak sarah sangat ramah saya suka senyumnya.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,"pelayanan ramah, cepat, dan cekatan, bukan kaleng. terima kasih bank mandiri thamrin.",2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,mas wahyu memang paling keren,2
Bank Mandiri KC Jakarta Thamrin,5,service yang ramah dan cepat pekerjaan nya,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,pelayanan terbaik,2
Bank Mandiri KC Jakarta Thamrin,5,pelayanan ter baik,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,"pelayanannya sat set sat set , cabang mandiri yang ternyaman , teruskan mantap",2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,best cabang yang pernah ada,2
Bank Mandiri KC Jakarta Thamrin,5,rama pelayanan,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KC Jakarta Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
